edgar_name,gbd_location
Afghanistan,Afghanistan
Albania,Albanie
Algeria,Algérie
American Samoa,Samoa américaines
Angola,Angola
Antigua and Barbuda,Antigua-et-Barbuda
Argentina,Argentine
Armenia,Arménie
Australia,Australie
Austria,Autriche
Azerbaijan,Azerbaïdjan
Bahamas,Les Bahamas
Bahrain,Bahreïn
Bangladesh,Bangladesh
Barbados,Barbade
Belarus,Belarus
Belgium,Belgique
Belize,Belize
Benin,Bénin
Bermuda,Bermudes
Bhutan,Bhoutan
Bolivia,Bolivie
Bosnia and Herzegovina,Bosnie-Herzégovine
Botswana,Botswana
Brazil,Brésil
Brunei Darussalam,Brunei
Bulgaria,Bulgarie
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodge
Cameroon,Cameroun
Canada,Canada
Cape Verde,Cap-Vert
Central African Republic,République centrafricaine
Chad,Tchad
Chile,Chili
China,La Chine
Colombia,Colombie
Comoros,Comores
Congo,Congo
Congo_the Democratic Republic of the,République démocratique du Congo
Cook Islands,Iles de Cook
Costa Rica,Costa Rica
Cote d'Ivoire,Côte d'Ivoire
Croatia,Croatie (Hrvatska)
Cuba,Cuba
Cyprus,Chypre
Czech Republic,République tchèque
Denmark,Danemark
Djibouti,Djibouti
Dominica,Dominique
Dominican Republic,République dominicaine
Ecuador,Équateur
Egypt,Égypte
El Salvador,Salvador
Equatorial Guinea,La Guinée équatoriale
Eritrea,L'Érythrée
Estonia,Estonie
Ethiopia,Éthiopie
Fiji,Fidji
Finland,Finlande
France,France
Gabon,Gabon
Gambia,La Gambie
Georgia,Géorgie
Germany,Allemagne
Ghana,Ghana
Greece,Grèce
Greenland,Groenland
Grenada,La Grenade
Guam,Guam
Guatemala,Guatemala
Guinea,La Guinée
Guinea-Bissau,Guinée-Bissau
Guyana,Guyane
Haiti,Haïti
Honduras,Honduras
Hungary,Hongrie
Iceland,Islande
India,Inde
Indonesia,Indonésie
"Iran, Islamic Republic of",Iran
Iraq,Irak
Ireland,Irlande
Israel,Israël
Italy,Italie
Jamaica,Jamaïque
Japan,Japon
Jordan,Jordanie
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
"Korea, Democratic People's Republic of",La Corée du Nord
"Korea, Republic of",Corée du Sud
Kuwait,Koweït
Kyrgyzstan,Kirghizistan
Lao People's Democratic Republic,Laos
Latvia,Lettonie
Lebanon,Liban
Lesotho,Lesotho
Liberia,Libéria
Libyan Arab Jamahiriya,Libye
Lithuania,Lithuanie
Luxembourg,Luxembourg
"Macedonia, the former Yugoslav Republic of",Macédoine
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaisie
Maldives,Maldives
Mali,Mali
Malta,Malte
Marshall Islands,Îles Marshall
Mauritania,Mauritanie
Mauritius,Ile Maurice
Mexico,Mexique
"Micronesia, Federated States of",États fédérés de Micronésie
"Moldova, Republic of",Moldova
Mongolia,Mongolie
Morocco,Maroc
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibie
Nauru,Nauru
Nepal,Népal
Netherlands,Pays-Bas
New Zealand,Nouvelle-Zélande
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Northern Mariana Islands,Îles Mariannes du Nord
Norway,Norvège
Oman,Oman
Pakistan,Pakistan
Palau,Palaos
Panama,Panama
Papua New Guinea,Papouasie-Nouvelle Guinée
Paraguay,Paraguay
Peru,Pérou
Philippines,Philippines
Poland,Pologne
Portugal,Portugal
Puerto Rico,Porto Rico
Qatar,Qatar
Romania,Roumanie
Russian Federation,Russie
Rwanda,Rwanda
Saint Kitts and Nevis,Saint Christophe et Niévès
Saint Lucia,Sainte-Lucie
Saint Vincent and the Grenadines,Saint Vincent et les Grenadines
Samoa,Samoa
Sao Tome and Principe,Sao Tomé et Principe
Saudi Arabia,Arabie Saoudite
Senegal,Sénégal
Serbia and Montenegro,Serbie
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapour
Slovakia,Slovaquie
Slovenia,Slovénie
Solomon Islands,Îles Salomon
Somalia,La Somalie
South Africa,Afrique du Sud
Spain,Espagne
Sri Lanka,Sri Lanka
Sudan,Soudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Suède
Switzerland,Suisse
Syrian Arab Republic,Syrie
Taiwan_Province of China,Taiwan
Tajikistan,Tadjikistan
Tanzania_United Republic of,Tanzanie
Thailand,Thaïlande
Timor-Leste,Timor-Leste
Togo,Togo
Tokelau,Tokelau
Tonga,Tonga
Trinidad and Tobago,Trinité-et-Tobago
Tunisia,Tunisie
Turkey,Turquie
Turkmenistan,Turkménistan
Tuvalu,Tuvalu
Uganda,L'Ouganda
Ukraine,Ukraine
United Arab Emirates,Émirats Arabes Unis
United Kingdom,Royaume-Uni
United States,États Unis
Uruguay,Uruguay
Uzbekistan,Ouzbékistan
Vanuatu,Vanuatu
Venezuela,Venezuela
Viet Nam,Viêt Nam
Virgin Islands_USA,"Virgin Islands, U.S."
Yemen,Yémen
Zambia,Zambie
Zimbabwe,Zimbabwe
Monaco,Monaco
San Marino,Saint-Marin
Montenegro,Monténégro
South Sudan,Sud-Soudan
Palestine,Palestine
Andorra,Andorre
